date	ajustado
02/10/2012	91.9838
03/10/2012	90.9215
04/10/2012	89.0623
05/10/2012	89.4164
08/10/2012	91.7182
09/10/2012	90.1247
10/10/2012	90.5673
11/10/2012	93.1347
15/10/2012	92.6921
16/10/2012	93.2233
17/10/2012	93.3118
18/10/2012	92.2494
19/10/2012	88.9738
22/10/2012	88.2655
23/10/2012	87.2917
24/10/2012	86.849
25/10/2012	87.6458
26/10/2012	86.4064
29/10/2012	86.9376
30/10/2012	87.4687
31/10/2012	84.9899
01/11/2012	85.4325
05/11/2012	86.2293
06/11/2012	87.4687
07/11/2012	86.2293
08/11/2012	87.6458
09/11/2012	85.0784
12/11/2012	86.0522
13/11/2012	87.2917
14/11/2012	86.3178
16/11/2012	83.6619
19/11/2012	83.7504
21/11/2012	84.4587
22/11/2012	85.6096
23/11/2012	86.3178
26/11/2012	82.3339
27/11/2012	81.183
28/11/2012	82.3339
29/11/2012	83.3078
30/11/2012	79.8551
03/12/2012	81.2716
04/12/2012	81.4486
05/12/2012	79.9436
06/12/2012	78.173
07/12/2012	80.2977
10/12/2012	80.4748
11/12/2012	81.0945
12/12/2012	79.5009
13/12/2012	80.0321
14/12/2012	79.7665
17/12/2012	79.4124
18/12/2012	79.7665
19/12/2012	80.9174
20/12/2012	83.3963
21/12/2012	81.7142
26/12/2012	80.3863
27/12/2012	80.4748
28/12/2012	81.0945
02/01/2013	81.5372
03/01/2013	81.9798
04/01/2013	82.511
07/01/2013	81.5372
08/01/2013	80.3863
09/01/2013	80.8289
10/01/2013	81.6257
11/01/2013	80.8289
14/01/2013	81.5372
15/01/2013	84.016
16/01/2013	83.7504
17/01/2013	85.7867
18/01/2013	86.9376
21/01/2013	85.344
22/01/2013	79.678
23/01/2013	81.8913
24/01/2013	80.1207
28/01/2013	79.9436
29/01/2013	82.511
30/01/2013	88.2655
31/01/2013	89.8591
01/02/2013	90.0361
04/02/2013	88.2655
05/02/2013	87.5573
06/02/2013	85.8752
07/02/2013	86.7605
08/02/2013	83.9275
13/02/2013	79.678
14/02/2013	76.845
15/02/2013	73.9235
18/02/2013	73.4808
19/02/2013	73.9235
20/02/2013	72.9496
21/02/2013	71.2676
22/02/2013	72.5955
25/02/2013	74.2776
26/02/2013	75.6941
27/02/2013	76.5794
28/02/2013	74.8088
01/03/2013	73.3923
04/03/2013	73.0382
05/03/2013	70.9134
06/03/2013	72.5955
07/03/2013	73.4808
08/03/2013	76.1368
11/03/2013	76.3138
12/03/2013	75.8712
13/03/2013	75.2515
14/03/2013	74.2776
15/03/2013	71.7102
18/03/2013	72.7726
19/03/2013	73.9235
20/03/2013	71.7102
21/03/2013	72.1529
22/03/2013	67.5447
25/03/2013	63.3114
26/03/2013	63.2173
27/03/2013	65.1928
28/03/2013	65.381
01/04/2013	66.7921
02/04/2013	65.475
03/04/2013	64.8165
04/04/2013	65.6632
05/04/2013	66.0395
08/04/2013	64.9106
09/04/2013	65.475
10/04/2013	66.8861
11/04/2013	63.1232
12/04/2013	59.8306
15/04/2013	56.5381
16/04/2013	60.3951
17/04/2013	57.9492
18/04/2013	57.8551
19/04/2013	57.4788
22/04/2013	56.444
23/04/2013	55.9736
24/04/2013	57.1025
25/04/2013	55.9736
26/04/2013	54.8448
29/04/2013	54.0922
30/04/2013	55.4092
02/05/2013	52.6811
03/05/2013	49.8589
06/05/2013	48.8241
07/05/2013	50.047
08/05/2013	48.9181
09/05/2013	49.2944
10/05/2013	49.4826
13/05/2013	48.9181
14/05/2013	49.2004
15/05/2013	51.5522
16/05/2013	49.0122
17/05/2013	49.5766
20/05/2013	49.3885
21/05/2013	48.2596
22/05/2013	47.1307
23/05/2013	47.413
24/05/2013	47.6011
27/05/2013	47.2248
28/05/2013	46.8485
29/05/2013	43.65
31/05/2013	40.3575
03/06/2013	43.0856
04/06/2013	49.8589
05/06/2013	50.1411
06/06/2013	49.3885
07/06/2013	50.047
10/06/2013	48.8241
11/06/2013	45.9078
12/06/2013	45.1552
13/06/2013	45.0611
14/06/2013	44.0263
17/06/2013	41.9567
18/06/2013	42.333
19/06/2013	40.4515
20/06/2013	40.0752
21/06/2013	36.5005
24/06/2013	39.4167
25/06/2013	40.5456
26/06/2013	40.2634
27/06/2013	41.2041
28/06/2013	41.3923
01/07/2013	38.1938
02/07/2013	36.0301
03/07/2013	35.3716
04/07/2013	36.5945
05/07/2013	36.9708
08/07/2013	37.4412
10/07/2013	35.6538
11/07/2013	35.8419
12/07/2013	34.2427
15/07/2013	37.6293
16/07/2013	36.4064
17/07/2013	35.7479
18/07/2013	37.5353
19/07/2013	39.8871
22/07/2013	45.8137
23/07/2013	43.3678
24/07/2013	46.4722
25/07/2013	49.3885
26/07/2013	48.2596
29/07/2013	45.1552
30/07/2013	42.333
31/07/2013	42.2389
01/08/2013	42.2389
02/08/2013	42.8974
05/08/2013	45.0611
06/08/2013	41.3923
07/08/2013	41.2041
